"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"605","_Social and economic challenges to community-based","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"4"
"606","_Social and economic challenges to community-based","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"4"
"607","_Social and economic challenges to community-based","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",2,"4"
"608","_Social and economic challenges to community-based","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",2,"4"
"609","_Social and economic challenges to community-based","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"4"
"610","_Social and economic challenges to community-based","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R4",3,"4"
"611","_Social and economic challenges to community-based","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",3,"4"
"612","_Social and economic challenges to community-based","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",3,"4"
"613","_Social and economic challenges to community-based","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"614","_Social and economic challenges to community-based","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"615","_Social and economic challenges to community-based","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"616","_Social and economic challenges to community-based","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",2,"4"
"617","_Social and economic challenges to community-based","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"618","_Social and economic challenges to community-based","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"619","_Social and economic challenges to community-based","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"4"
"620","_Social and economic challenges to community-based","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"621","_Social and economic challenges to community-based","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",2,"4"
"622","_Social and economic challenges to community-based","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"4"
"623","_Social and economic challenges to community-based","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"4"
"624","_Social and economic challenges to community-based","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"625","_Social and economic challenges to community-based","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",NA,"4"
"626","_Social and economic challenges to community-based","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"4"
"627","_Social and economic challenges to community-based","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"628","_Social attitudes towards marine resource managemen","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"629","_Social attitudes towards marine resource managemen","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"630","_Social attitudes towards marine resource managemen","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"631","_Social attitudes towards marine resource managemen","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"632","_Social attitudes towards marine resource managemen","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"633","_Social attitudes towards marine resource managemen","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"634","_Social attitudes towards marine resource managemen","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"635","_Social attitudes towards marine resource managemen","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"636","_Social attitudes towards marine resource managemen","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"637","_Social attitudes towards marine resource managemen","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",NA,"4"
"638","_Social attitudes towards marine resource managemen","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"4"
"639","_Social attitudes towards marine resource managemen","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"4"
"640","_Social attitudes towards marine resource managemen","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"641","_Social attitudes towards marine resource managemen","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
"642","_Social attitudes towards marine resource managemen","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"643","_Social attitudes towards marine resource managemen","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"644","_Social attitudes towards marine resource managemen","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
"645","_Social attitudes towards marine resource managemen","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"646","_Social attitudes towards marine resource managemen","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"647","_Social attitudes towards marine resource managemen","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"648","_Social attitudes towards marine resource managemen","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"649","_Social attitudes towards marine resource managemen","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"4"
"650","_Social attitudes towards marine resource managemen","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"651","_Social attitudes towards marine resource managemen","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"4"
"652","_Social attitudes towards marine resource managemen","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"653","_Social attitudes towards marine resource managemen","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"654","_Social attitudes towards marine resource managemen","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"655","_Social attitudes towards marine resource managemen","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",3,"R3",NA,"4"
"656","_Social attitudes towards marine resource managemen","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"4"
